                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                0.47371,                0.50718,                0.97855,                0.86976,                0.86502,                0.91296,                0.81282,                0.53039,                0.58839,                 0.8602,             0.00051004,             0.00051004,             0.00051004
                    135,                0.48541,                0.51814,                0.98071,                0.80425,                0.90502,                 0.9187,                0.80484,                0.54577,                0.59568,                0.86086,             0.00050704,             0.00050704,             0.00050704
                    136,                0.47977,                0.51148,                0.98257,                0.85125,                0.81491,                0.91312,                0.80868,                0.53111,                0.57498,                 0.8414,             0.00050404,             0.00050404,             0.00050404
                    137,                0.48344,                0.50619,                 0.9769,                0.84486,                0.89403,                0.91066,                 0.7987,                0.52302,                0.57399,                0.85387,             0.00050104,             0.00050104,             0.00050104
                    138,                0.46872,                0.51751,                0.98055,                0.81972,                0.90098,                0.91301,                0.79538,                0.53398,                0.59079,                0.86847,             0.00049804,             0.00049804,             0.00049804
                    139,                0.46365,                0.50185,                0.97855,                0.83348,                0.87158,                 0.9192,                0.82149,                0.52944,                0.54171,                 0.8534,             0.00049504,             0.00049504,             0.00049504
                    140,                0.48524,                0.52336,                0.98509,                0.85425,                0.86556,                0.91426,                0.79995,                 0.5365,                0.61348,                0.86445,             0.00049204,             0.00049204,             0.00049204
                    141,                0.46954,                0.50947,                0.97451,                0.83884,                0.86554,                0.91095,                0.81267,                0.51636,                0.57746,                 0.8619,             0.00048904,             0.00048904,             0.00048904
                    142,                0.47327,                0.50816,                0.98337,                0.87845,                0.86703,                0.92363,                0.81582,                0.53412,                0.57502,                0.85647,             0.00048604,             0.00048604,             0.00048604
                    143,                0.46201,                0.49021,                0.98396,                0.90538,                0.87214,                0.93413,                0.82658,                0.52299,                0.54005,                0.85082,             0.00048304,             0.00048304,             0.00048304
                    144,                0.46249,                0.50943,                0.97603,                0.88226,                 0.8546,                0.92311,                0.81414,                0.53901,                0.56737,                 0.8534,             0.00048004,             0.00048004,             0.00048004
                    145,                 0.4579,                0.50068,                0.97483,                0.77716,                0.89653,                0.90424,                0.80398,                0.52138,                0.60504,                0.86454,             0.00047704,             0.00047704,             0.00047704
                    146,                0.44682,                0.49138,                   0.98,                0.82582,                0.92632,                0.92314,                0.79901,                0.53093,                0.58252,                0.87546,             0.00047404,             0.00047404,             0.00047404
                    147,                0.47785,                0.49234,                0.98492,                0.83023,                0.89898,                0.92454,                 0.8083,                0.52744,                0.59171,                0.88089,             0.00047104,             0.00047104,             0.00047104
                    148,                0.45635,                0.46797,                 0.9767,                0.86819,                0.85392,                0.91138,                0.80157,                0.53926,                0.56614,                0.87108,             0.00046804,             0.00046804,             0.00046804
                    149,                0.45915,                0.48868,                0.97487,                 0.8839,                0.84188,                0.92554,                0.81452,                0.53408,                0.54131,                0.85913,             0.00046504,             0.00046504,             0.00046504
                    150,                0.47291,                 0.4955,                0.99066,                0.86288,                0.85182,                 0.9229,                 0.8096,                0.54009,                0.51173,                0.85697,             0.00046204,             0.00046204,             0.00046204
                    151,                0.47668,                0.51543,                0.98484,                0.86926,                0.81954,                0.90003,                0.80179,                0.53478,                0.58203,                0.85703,             0.00045904,             0.00045904,             0.00045904
                    152,                0.45867,                0.50297,                0.97249,                0.83231,                0.88077,                 0.9239,                0.82145,                0.52681,                 0.5957,                0.85507,             0.00045605,             0.00045605,             0.00045605
